epoch,step,train_box_loss_epoch,train_box_loss_step,train_cls_loss_epoch,train_cls_loss_step,train_dfl_loss_epoch,train_dfl_loss_step,train_loss_epoch,train_loss_step,val_box_loss,val_cls_loss,val_dfl_loss,val_loss
0,49,,3.672602891921997,,3.215106248855591,,1.9048609733581543,,211.0216827392578,,,,
0,99,,3.333091974258423,,3.0059916973114014,,1.6199331283569336,,191.0164031982422,,,,
0,149,,3.0926196575164795,,2.7634267807006836,,1.4545321464538574,,175.45388793945312,,,,
0,199,,3.146676778793335,,2.785501003265381,,1.485325574874878,,178.02008056640625,,,,
0,249,,3.054882764816284,,2.6929123401641846,,1.429582953453064,,172.257080078125,,,,
0,268,,,,,,,,,2.916492462158203,3.1670217514038086,1.484013557434082,179.0309295654297
0,268,3.4127800464630127,,3.173572540283203,,1.7669703960418701,,200.2104034423828,,,,,
1,299,,2.676520586013794,,2.464146375656128,,1.3661372661590576,,156.16329956054688,,,,
1,349,,2.473019599914551,,2.2391345500946045,,1.266693353652954,,143.49234008789062,,,,
1,399,,2.6600914001464844,,2.318063974380493,,1.2951020002365112,,150.55816650390625,,,,
1,449,,2.558523178100586,,2.2791588306427,,1.240647315979004,,145.87991333007812,,,,
1,499,,2.5124597549438477,,2.151789903640747,,1.2406316995620728,,141.7171630859375,,,,
1,537,,,,,,,,,2.5181167125701904,2.3630380630493164,1.277989387512207,145.81031799316406
1,537,2.6836886405944824,,2.3924078941345215,,1.309720516204834,,153.019287109375,,,,,
2,549,,2.4246184825897217,,2.2012269496917725,,1.2117798328399658,,140.10299682617188,,,,
2,599,,2.3880927562713623,,2.1928164958953857,,1.1843414306640625,,138.3660125732422,,,,
2,649,,2.506545305252075,,2.140895366668701,,1.2204868793487549,,140.83026123046875,,,,
2,699,,2.3629302978515625,,1.9919184446334839,,1.1299077272415161,,131.6341552734375,,,,
2,749,,2.4151859283447266,,2.138932466506958,,1.2553703784942627,,139.427734375,,,,
2,799,,2.3986570835113525,,2.136117696762085,,1.218772530555725,,138.08514404296875,,,,
2,806,,,,,,,,,2.2383172512054443,2.0523784160614014,1.1855568885803223,129.64437866210938
2,806,2.3529305458068848,,2.0671918392181396,,1.1998404264450073,,134.6622314453125,,,,,
3,849,,2.3003993034362793,,2.0308282375335693,,1.2037482261657715,,132.83941650390625,,,,
3,899,,2.1573784351348877,,1.9372711181640625,,1.1357256174087524,,125.52900695800781,,,,
3,949,,2.228368043899536,,1.867490291595459,,1.1274909973144531,,125.36038208007812,,,,
3,999,,2.2069525718688965,,1.9144657850265503,,1.1413086652755737,,126.30545043945312,,,,
3,1049,,2.031285285949707,,1.7861912250518799,,1.1235158443450928,,118.58381652832031,,,,
